Componente 1,Componente 2,Cluster,Curso
0.033194147,-0.11488354,1,Conhecendo o Programa de Voluntariado do ICMBio 
0.115754485,-0.26439738,2,Gestão do Programa de Voluntariado nas Unidades Organizacionais do ICMBio 
0.17157891,-0.061479636,1,Aplicação do Power BI para Aprimoramento da Gestão 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
0.07601331,-0.50703096,2,Business Intelligence no Sistema Integrado de Planejamento e Orçamento - Siop BI 
0.17157891,-0.061479636,1,Aplicação do Power BI para Aprimoramento da Gestão 
-0.4807579,0.25004902,0,Metodologias Ativas 
0.17157891,-0.061479636,1,Aplicação do Power BI para Aprimoramento da Gestão 
0.015993955,-0.32416496,2,Inteligência Artificial para simplificar o dia a dia 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
0.015993955,-0.32416496,2,Inteligência Artificial para simplificar o dia a dia 
0.07255876,-0.35655516,2,Fiscalização e Gestão de Contratos de TIC 
0.08973526,0.117993064,4,Termo de Execução Descentralizada: Visão Geral e Atos Preparatórios 
0.0047219237,0.10390678,4,Término de Mandato: restrições fiscais 
0.064279415,-0.10446124,1,Segurança Química em Laboratórios de Ensino e Pesquisa 
-0.20174362,-0.0905475,3,BIM - Implantação 
0.08973526,0.117993064,4,Termo de Execução Descentralizada: Visão Geral e Atos Preparatórios 
0.105979316,0.21642463,4,Introdução à Ciência de Dados - Conceitos e Ferramentas 
0.03739795,0.05555014,1,Acessibilidade em Museus 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
0.07218574,-0.08795486,1,Formação de Facilitadores de Aprendizagem 
0.0730331,-0.0529818,1,Provas no Processo Administrativo Disciplinar 
-0.26911816,-0.18398166,3,"Transferegov.br: Cadastro de Entes, Instituições e Usuários "
0.20197485,-0.3139969,2,Gestão e Fiscalização de Contratos Administrativos 
0.026332946,-0.075274475,1,Gestão do Voluntariado no ICMBio: Manejo Integrado do Fogo 
-0.19978409,-0.1498745,3,Noções Básicas para Coordenar Cursos On-line 
-0.115808,0.04525871,3,Treinamento Censo Superior 
0.20946269,0.042881414,1,"Elaboração Legislativa no Executivo: Legística, Governança e Avaliação "
-0.14091854,-0.051874936,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
-0.17053162,0.3396161,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
0.11612944,0.2565014,4,Prevenção e Enfrentamento do Assédio Sexual e Moral 
0.19785134,0.038128503,1,Admissibilidade Correcional 
0.2639798,0.2733823,4,"Prestação de contas, transparência e controle social no âmbito do FNDE "
0.15458056,-0.0482861,1,Para Fazer uma Exposição 
0.18606359,0.18537213,4,"Monitoramento da biodiversidade: gestão, análise e síntese dos dados "
0.048397746,-0.13430831,1,Acesso a Recursos do Saneamento: Mecanismos PAC - Financiamento/Curso 4 
0.07601331,-0.50703096,2,Business Intelligence no Sistema Integrado de Planejamento e Orçamento - Siop BI 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
-0.14201099,-0.1957511,3,Aprendendo com Python 
0.23605043,-0.11179266,1,Educação Financeira Pessoal 
0.17157891,-0.061479636,1,Aplicação do Power BI para Aprimoramento da Gestão 
0.12851836,-0.28413862,2,Representação Fiscal para Fins Penais no âmbito da Receita Federal 
-0.393667,0.28869733,0,Tesouro Gerencial 
-0.393667,0.28869733,0,Tesouro Gerencial 
0.016880088,0.18770386,4,Fundamentos da Lei Geral de Proteção de Dados 
0.016880088,0.18770386,4,Fundamentos da Lei Geral de Proteção de Dados 
